device_id,label,time_s,amplitude
Motor-2,正常,0.0,0.09317878933353184
Motor-2,正常,8.333333333333333e-05,-0.06265951087659684
Motor-2,正常,0.00016666666666666666,-0.1665483941724536
Motor-2,正常,0.00025,-0.18111306243193825
Motor-2,正常,0.0003333333333333333,-0.11781838367220272
Motor-2,正常,0.0004166666666666667,-0.24463646407663395
Motor-2,正常,0.0005,-0.08326034936134293
Motor-2,正常,0.0005833333333333334,-0.1418596231577723
Motor-2,正常,0.0006666666666666666,-0.2821415211403294
Motor-2,正常,0.00075,-0.12459907233379124
Motor-2,正常,0.0008333333333333334,-0.2334699402682617
Motor-2,正常,0.0009166666666666666,-0.10524653863009563
Motor-2,正常,0.001,-0.2519613065560924
Motor-2,正常,0.0010833333333333333,-0.4228362947084222
Motor-2,正常,0.0011666666666666668,-0.23435325011526467
Motor-2,正常,0.00125,-0.09228793342019921
Motor-2,正常,0.0013333333333333333,0.3369487507129422
Motor-2,正常,0.0014166666666666668,0.3355635971994071
Motor-2,正常,0.0015,0.43690688333314365
Motor-2,正常,0.0015833333333333333,0.8928263182726579
Motor-2,正常,0.0016666666666666668,1.0215849487647648
Motor-2,正常,0.00175,1.0975885721155811
Motor-2,正常,0.0018333333333333333,1.0941908755801917
Motor-2,正常,0.0019166666666666666,1.0809063226052087
Motor-2,正常,0.002,0.9014716435405747
Motor-2,正常,0.0020833333333333333,0.9525703373454635
Motor-2,正常,0.0021666666666666666,1.0061756194490603
Motor-2,正常,0.00225,0.7386193191326226
Motor-2,正常,0.0023333333333333335,0.6991687917695181
Motor-2,正常,0.002416666666666667,0.7313552529676862
Motor-2,正常,0.0025,0.8357253181808406
Motor-2,正常,0.0025833333333333333,0.8138014333088075
Motor-2,正常,0.0026666666666666666,0.9530543616349721
Motor-2,正常,0.00275,0.9347398925664431
Motor-2,正常,0.0028333333333333335,0.7215301460816755
Motor-2,正常,0.002916666666666667,0.863265759332677
Motor-2,正常,0.003,0.462365070522401
Motor-2,正常,0.0030833333333333333,0.32971379505480247
Motor-2,正常,0.0031666666666666666,0.34747849744934534
Motor-2,正常,0.00325,-0.07496047180026268
Motor-2,正常,0.0033333333333333335,0.18436920264641135
Motor-2,正常,0.003416666666666667,0.32258397209634604
Motor-2,正常,0.0035,0.0750950204859014
Motor-2,正常,0.0035833333333333333,0.1780790476327952
Motor-2,正常,0.0036666666666666666,0.34877905865286574
Motor-2,正常,0.00375,0.1278105915879786
Motor-2,正常,0.003833333333333333,0.0071730161831062055
Motor-2,正常,0.003916666666666666,0.11531761509219117
Motor-2,正常,0.004,-0.3607525633989913
Motor-2,正常,0.004083333333333333,-0.5773111340281633
Motor-2,正常,0.004166666666666667,-0.3553658490465695
Motor-2,正常,0.00425,-0.2654456995576181
Motor-2,正常,0.004333333333333333,-0.06076426607280925
Motor-2,正常,0.004416666666666667,-0.16877047068191076
Motor-2,正常,0.0045,-0.02612095241592208
Motor-2,正常,0.004583333333333333,0.607312374876307
Motor-2,正常,0.004666666666666667,0.610485460144577
Motor-2,正常,0.00475,0.37178809625346215
Motor-2,正常,0.004833333333333334,0.6748896976221999
Motor-2,正常,0.004916666666666666,0.8369353346750062
Motor-2,正常,0.005,0.5750255014066884
Motor-2,正常,0.005083333333333333,0.6467347190023248
Motor-2,正常,0.005166666666666667,0.9546620419800939
Motor-2,正常,0.00525,0.8822494660822868
Motor-2,正常,0.005333333333333333,0.7422693467080549
Motor-2,正常,0.005416666666666667,0.8838291173268485
Motor-2,正常,0.0055,0.9664697902692977
