device_id,label,node,energy_ratio,节点0,节点1,节点2,节点3,节点4,节点5,节点6,节点7
Motor-2,正常,节点0,0.8516978724171516,,,,,,,,
Motor-2,正常,节点1,0.10205734238424473,,,,,,,,
Motor-2,正常,节点2,0.0105843828993421,,,,,,,,
Motor-2,正常,节点3,0.010711985358337608,,,,,,,,
Motor-2,正常,节点4,0.008529485400577509,,,,,,,,
Motor-2,正常,节点5,0.008387136580240278,,,,,,,,
Motor-2,正常,节点6,0.007866326798280192,,,,,,,,
Motor-2,正常,节点7,0.00016546816182607207,,,,,,,,
Motor-2,松动,节点0,0.86671033863224,,,,,,,,
Motor-2,松动,节点1,0.08105479063587955,,,,,,,,
Motor-2,松动,节点2,0.014267199001689634,,,,,,,,
Motor-2,松动,节点3,0.00807888048413274,,,,,,,,
Motor-2,松动,节点4,0.008997232545661642,,,,,,,,
Motor-2,松动,节点5,0.016932835741888495,,,,,,,,
Motor-2,松动,节点6,0.003915725602928334,,,,,,,,
Motor-2,松动,节点7,4.299735557956704e-05,,,,,,,,
Motor-2,轴承故障,节点0,0.7876661720500382,,,,,,,,
Motor-2,轴承故障,节点1,0.14831342042017265,,,,,,,,
Motor-2,轴承故障,节点2,0.016947972489607197,,,,,,,,
Motor-2,轴承故障,节点3,0.015330401479373814,,,,,,,,
Motor-2,轴承故障,节点4,0.012571518116267706,,,,,,,,
Motor-2,轴承故障,节点5,0.014999501550877576,,,,,,,,
Motor-2,轴承故障,节点6,0.004131662662377166,,,,,,,,
Motor-2,轴承故障,节点7,3.9351231285641446e-05,,,,,,,,
Motor-4,正常,节点0,0.6754277389443264,,,,,,,,
Motor-4,正常,节点1,0.15665758502103053,,,,,,,,
Motor-4,正常,节点2,0.0759610052485935,,,,,,,,
Motor-4,正常,节点3,0.01697065893891942,,,,,,,,
Motor-4,正常,节点4,0.017251564235508565,,,,,,,,
Motor-4,正常,节点5,0.038908853659478916,,,,,,,,
Motor-4,正常,节点6,0.018740693250334006,,,,,,,,
Motor-4,正常,节点7,8.190070180855556e-05,,,,,,,,
Motor-4,转子不平衡,节点0,0.583367265095853,,,,,,,,
Motor-4,转子不平衡,节点1,0.18777475252477288,,,,,,,,
Motor-4,转子不平衡,节点2,0.09675115134870906,,,,,,,,
Motor-4,转子不平衡,节点3,0.034447012623599615,,,,,,,,
Motor-4,转子不平衡,节点4,0.03169575187638703,,,,,,,,
Motor-4,转子不平衡,节点5,0.04328941178281838,,,,,,,,
Motor-4,转子不平衡,节点6,0.022575112192766245,,,,,,,,
Motor-4,转子不平衡,节点7,9.95425550936655e-05,,,,,,,,
Motor-4,联轴器不对中,节点0,0.6346183140852136,,,,,,,,
Motor-4,联轴器不对中,节点1,0.15584905635894994,,,,,,,,
Motor-4,联轴器不对中,节点2,0.10126023015827391,,,,,,,,
Motor-4,联轴器不对中,节点3,0.03998413274341447,,,,,,,,
Motor-4,联轴器不对中,节点4,0.01988381044950726,,,,,,,,
Motor-4,联轴器不对中,节点5,0.03171110175991536,,,,,,,,
Motor-4,联轴器不对中,节点6,0.016548207334350393,,,,,,,,
Motor-4,联轴器不对中,节点7,0.000145147110375024,,,,,,,,
Motor-4,汽蚀,节点0,0.34410464833763116,,,,,,,,
Motor-4,汽蚀,节点1,0.28127395762279095,,,,,,,,
Motor-4,汽蚀,节点2,0.22845245900378322,,,,,,,,
Motor-4,汽蚀,节点3,0.03360247825535259,,,,,,,,
Motor-4,汽蚀,节点4,0.028115877373255244,,,,,,,,
Motor-4,汽蚀,节点5,0.0565108744756738,,,,,,,,
Motor-4,汽蚀,节点6,0.027834783699641808,,,,,,,,
Motor-4,汽蚀,节点7,0.0001049212318710275,,,,,,,,
Motor-2,正常,,,0.8516978724171516,0.10205734238424473,0.0105843828993421,0.010711985358337608,0.008529485400577509,0.008387136580240278,0.007866326798280192,0.00016546816182607207
Motor-2,松动,,,0.86671033863224,0.08105479063587955,0.014267199001689634,0.00807888048413274,0.008997232545661642,0.016932835741888495,0.003915725602928334,4.299735557956704e-05
Motor-2,轴承故障,,,0.7876661720500382,0.14831342042017265,0.016947972489607197,0.015330401479373814,0.012571518116267706,0.014999501550877576,0.004131662662377166,3.9351231285641446e-05
Motor-4,正常,,,0.6754277389443264,0.15665758502103053,0.0759610052485935,0.01697065893891942,0.017251564235508565,0.038908853659478916,0.018740693250334006,8.190070180855556e-05
Motor-4,转子不平衡,,,0.583367265095853,0.18777475252477288,0.09675115134870906,0.034447012623599615,0.03169575187638703,0.04328941178281838,0.022575112192766245,9.95425550936655e-05
Motor-4,联轴器不对中,,,0.6346183140852136,0.15584905635894994,0.10126023015827391,0.03998413274341447,0.01988381044950726,0.03171110175991536,0.016548207334350393,0.000145147110375024
Motor-4,汽蚀,,,0.34410464833763116,0.28127395762279095,0.22845245900378322,0.03360247825535259,0.028115877373255244,0.0565108744756738,0.027834783699641808,0.0001049212318710275
