device_id,label,frequency_hz,amplitude
Motor-2,正常,0.0,9.310496252302e-05
Motor-2,正常,0.08333333333333333,0.0006407740115296205
Motor-2,正常,0.16666666666666666,0.00017152514970202018
Motor-2,正常,0.25,0.0006943206132815266
Motor-2,正常,0.3333333333333333,0.0005678031375338867
Motor-2,正常,0.41666666666666663,0.0008313290803555186
Motor-2,正常,0.5,0.0005427781538443249
Motor-2,正常,0.5833333333333333,0.00044865097767329923
Motor-2,正常,0.6666666666666666,0.00021601311810671035
Motor-2,正常,0.75,0.0008972352014518435
Motor-2,正常,0.8333333333333333,0.001037744298246002
Motor-2,正常,0.9166666666666666,0.0007109852309374509
Motor-2,正常,1.0,0.0009136483466859874
Motor-2,正常,1.0833333333333333,0.0007392193859424779
Motor-2,正常,1.1666666666666665,0.001042098952815893
Motor-2,正常,1.25,0.0010847466964824053
Motor-2,正常,1.3333333333333333,0.00028742909527934606
Motor-2,正常,1.4166666666666665,0.0008633559617786639
Motor-2,正常,1.5,0.0010684765486555033
Motor-2,正常,1.5833333333333333,0.0007018193616695281
Motor-2,正常,1.6666666666666665,0.0010500134471045236
Motor-2,正常,1.75,0.0013171541037675216
Motor-2,正常,1.8333333333333333,0.0015790552586910631
Motor-2,正常,1.9166666666666665,0.0009209486161702274
Motor-2,正常,2.0,0.0008175506887541389
Motor-2,正常,2.083333333333333,0.0017442191953842545
Motor-2,正常,2.1666666666666665,0.0019295185053944922
Motor-2,正常,2.25,0.0013252826470924132
Motor-2,正常,2.333333333333333,0.0002961475556021625
Motor-2,正常,2.4166666666666665,0.0013160232973860619
Motor-2,正常,2.5,0.0013824685633170518
Motor-2,正常,2.583333333333333,0.0006045149680971935
Motor-2,正常,2.6666666666666665,0.0008338463858093046
Motor-2,正常,2.75,0.0016450903497374967
Motor-2,正常,2.833333333333333,0.0006000643394988001
Motor-2,正常,2.9166666666666665,0.0006884570418427015
Motor-2,正常,3.0,0.0005357632861835784
Motor-2,正常,3.083333333333333,0.0014872391355697644
Motor-2,正常,3.1666666666666665,0.0008246012205742565
Motor-2,正常,3.25,0.0010841553394723663
Motor-2,正常,3.333333333333333,0.0009885522280513926
Motor-2,正常,3.4166666666666665,0.0013118445619993992
Motor-2,正常,3.5,0.0012421394712939294
Motor-2,正常,3.583333333333333,0.000676268852879633
Motor-2,正常,3.6666666666666665,0.0013235407326392151
Motor-2,正常,3.75,0.0016600588563912496
Motor-2,正常,3.833333333333333,0.0005675677407744186
Motor-2,正常,3.9166666666666665,0.0002544194336895653
Motor-2,正常,4.0,0.001292296996558009
Motor-2,正常,4.083333333333333,0.0019256325315542527
Motor-2,正常,4.166666666666666,0.0017203001180486177
Motor-2,正常,4.25,0.0006110950047462815
Motor-2,正常,4.333333333333333,0.00018146711090539366
