label,device_id,speed_percent,rpm,source_file,group_id,window_id,record_index,window_index,window_start,window_end,distance_to_class_center,freq_hz,amplitude,selected_band_low_hz,selected_band_high_hz,envelope_limit_hz
正常,Motor-2,100,1480.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态2/振动_电机2_100_时域-正常状态2-通道4.csv,Motor-2::100::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态2/振动_电机2_100_时域-正常状态2-通道4.csv::record_0,振动_电机2_100_时域-正常状态2-通道4_0_10,0,10,12000,14400,1.5971395113630515,0.0,0.00046965209527970934,2000.0,4000.0,300.0
正常,Motor-2,100,1480.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态2/振动_电机2_100_时域-正常状态2-通道4.csv,Motor-2::100::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态2/振动_电机2_100_时域-正常状态2-通道4.csv::record_0,振动_电机2_100_时域-正常状态2-通道4_0_10,0,10,12000,14400,1.5971395113630515,0.08333333333333333,0.0007681055125826773,2000.0,4000.0,300.0
正常,Motor-2,100,1480.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态2/振动_电机2_100_时域-正常状态2-通道4.csv,Motor-2::100::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态2/振动_电机2_100_时域-正常状态2-通道4.csv::record_0,振动_电机2_100_时域-正常状态2-通道4_0_10,0,10,12000,14400,1.5971395113630515,0.16666666666666666,0.0006814086209925238,2000.0,4000.0,300.0
正常,Motor-2,100,1480.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态2/振动_电机2_100_时域-正常状态2-通道4.csv,Motor-2::100::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态2/振动_电机2_100_时域-正常状态2-通道4.csv::record_0,振动_电机2_100_时域-正常状态2-通道4_0_10,0,10,12000,14400,1.5971395113630515,0.25,0.0009358606941880866,2000.0,4000.0,300.0
正常,Motor-2,100,1480.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态2/振动_电机2_100_时域-正常状态2-通道4.csv,Motor-2::100::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态2/振动_电机2_100_时域-正常状态2-通道4.csv::record_0,振动_电机2_100_时域-正常状态2-通道4_0_10,0,10,12000,14400,1.5971395113630515,0.3333333333333333,0.0014226758187938972,2000.0,4000.0,300.0
正常,Motor-2,100,1480.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态2/振动_电机2_100_时域-正常状态2-通道4.csv,Motor-2::100::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态2/振动_电机2_100_时域-正常状态2-通道4.csv::record_0,振动_电机2_100_时域-正常状态2-通道4_0_10,0,10,12000,14400,1.5971395113630515,0.41666666666666663,0.00122391855622656,2000.0,4000.0,300.0
正常,Motor-2,100,1480.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态2/振动_电机2_100_时域-正常状态2-通道4.csv,Motor-2::100::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态2/振动_电机2_100_时域-正常状态2-通道4.csv::record_0,振动_电机2_100_时域-正常状态2-通道4_0_10,0,10,12000,14400,1.5971395113630515,0.5,0.0007042355529961236,2000.0,4000.0,300.0
正常,Motor-2,100,1480.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态2/振动_电机2_100_时域-正常状态2-通道4.csv,Motor-2::100::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态2/振动_电机2_100_时域-正常状态2-通道4.csv::record_0,振动_电机2_100_时域-正常状态2-通道4_0_10,0,10,12000,14400,1.5971395113630515,0.5833333333333333,0.0010175510348672523,2000.0,4000.0,300.0
正常,Motor-2,100,1480.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态2/振动_电机2_100_时域-正常状态2-通道4.csv,Motor-2::100::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态2/振动_电机2_100_时域-正常状态2-通道4.csv::record_0,振动_电机2_100_时域-正常状态2-通道4_0_10,0,10,12000,14400,1.5971395113630515,0.6666666666666666,0.0012425953970812407,2000.0,4000.0,300.0
正常,Motor-2,100,1480.0,/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态2/振动_电机2_100_时域-正常状态2-通道4.csv,Motor-2::100::/Users/hewenhao/Documents/电机驱动离心泵多故障电流与振动监测数据集/数据集/原始数据集/Vibration/Motor-2/100/正常状态2/振动_电机2_100_时域-正常状态2-通道4.csv::record_0,振动_电机2_100_时域-正常状态2-通道4_0_10,0,10,12000,14400,1.5971395113630515,0.75,0.0015917883119033402,2000.0,4000.0,300.0
